6|6|false|iki|iki|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
7|6|false|iki|iki|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
8|6|false|iki|iki|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
9|6|false|iki|iki|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
10|6|false|iki|iki|Ilija|Galin|2056|6789|ghjk|ghjk|05/1/2002 11:00|male
11|0|False|user|pass|first|last|1801|645|mail|adr|01/01/2001 11:00|male
12|0|False|user|pass|first|last|1801|645|mail|adr|01/01/2001 11:00|male
13|0|False|ajde|jednom|pproradi|vec|56|63|boziji|covece|02/02/2002 11:00|male
14|0|True|guest|guest|dfg||4564|0|guest@gmail.com|guest|10/10/2000 11:00|female
15|0|True|guest|guest|fgd||4577|0|guest@gmail.com|guest|10/10/2000 11:00|female
16|0|True|guest|guest|fhvg|jvg|766766|0|guest@gmail.com|guest|10/10/2000 11:00|female
